Date,PortfolioValue,Positions
1997-07-03,5228950.2362496,1
1997-07-04,5229247.4362496,1
1997-07-07,5235785.836249599,1
1997-07-08,5253394.9362496,1
1997-07-09,5323125.4862496,1
1997-07-10,5320673.586249599,1
1997-07-11,5291547.9862496,1
1997-07-14,5240355.2862496,1
1997-07-15,5238460.6362496,1
1997-07-16,5222226.086249599,1
1997-07-17,5224603.6862496,1
1997-07-18,5179652.1862496,1
1997-07-21,5201644.9862496,1
1997-07-22,5232516.6362496,1
1997-07-23,5276465.086249599,1
1997-07-24,5265988.786249599,1
1997-07-25,5244107.4362496,1
1997-07-28,5254286.5362496,1
1997-07-29,5278508.336249599,1
1997-07-30,5295077.2362496,1
1997-07-31,5329255.2362496,1
1997-08-01,5356486.1862496,1
1997-08-04,5444197.336249599,1
1997-08-05,5494461.286249599,1
1997-08-06,5475068.9862496,1
1997-08-07,5427479.836249599,1
1997-08-08,5390292.6862496,1
1997-08-11,5436210.086249599,1
1997-08-12,5407567.4362496,1
1997-08-13,5373092.2362496,1
1997-08-14,5336425.1862496,1
1997-08-19,5260527.7362496,1
1997-08-20,5296191.7362496,1
1997-08-21,5248453.9862496,1
1997-08-22,5183515.7862496,1
1997-08-26,5214870.3862496,1
1997-08-27,5214684.6362496,1
1997-08-28,5126564.836249599,1
1997-08-29,5064375.7362496,1
1997-09-01,5097290.6362496,1
1997-09-02,5100299.786249599,1
1997-09-03,5110553.1862496,1
1997-09-04,5130985.6862496,1
1997-09-05,5142093.536249599,1
1997-09-08,5186710.6862496,1
1997-09-09,5159776.9362496,1
1997-09-10,5163417.6362496,1
1997-09-11,5142947.9862496,1
1997-09-12,5124558.7362496,1
1997-09-15,5133957.6862496,1
1997-09-16,5125858.9862496,1
1997-09-17,5075966.5362496,1
1997-09-18,5048995.6362496,1
1997-09-19,5008947.9362496,1
1997-09-22,4982571.4362496,1
1997-09-23,5006013.086249599,1
1997-09-24,5007647.6862496,1
1997-09-25,5035547.336249599,1
1997-09-26,5054791.036249599,1
1997-09-29,5058208.836249599,1
1997-09-30,5040562.586249599,1
1997-10-01,5042085.7362496,1
1997-10-03,5005975.9362496,1
1997-10-06,5011436.9862496,1
1997-10-07,5037367.6862496,1
1997-10-08,5048438.3862496,1
1997-10-09,5074926.336249599,1
1997-10-10,5101785.7862496,1
1997-10-13,5112522.1362496,1
1997-10-14,5079904.4362496,1
1997-10-15,5091941.036249599,1
1997-10-16,5119097.6862496,1
1997-10-17,5138824.336249599,1
1997-10-20,5178351.9362496,1
1997-10-21,5152384.086249599,1
1997-10-22,5133809.086249599,1
1997-10-23,5091458.086249599,1
1997-10-24,5051298.9362496,1
1997-10-27,5040785.4862496,1
1997-10-30,4980973.9862496,1
1997-11-03,4965148.086249599,1
1997-11-04,4965036.6362496,1
1997-11-05,4947130.336249599,1
1997-11-06,4935465.2362496,1
1997-11-07,4921125.336249599,1
1997-11-10,4904296.3862496,1
1997-11-11,4900878.586249599,1
1997-11-12,4853029.3862496,1
1997-11-13,4797230.086249599,1
1997-11-14,4796598.536249599,1
1997-11-17,4803805.6362496,1
1997-11-18,4770184.8862496,1
1997-11-19,4737418.586249599,1
1997-11-20,4745777.336249599,1
1997-11-21,4778469.336249599,1
1997-11-24,4714757.086249599,1
1997-11-25,4754990.5362496,1
1997-11-26,4792474.8862496,1
1997-11-27,4846268.086249599,1
1997-11-28,4801056.5362496,1
1997-12-01,4804214.2862496,1
1997-12-02,4794963.9362496,1
1997-12-03,4799273.336249599,1
1997-12-04,4773008.2862496,1
1997-12-05,4736378.3862496,1
1997-12-08,4730843.0362496,1
1997-12-09,4691389.7362496,1
1997-12-10,4668319.586249599,1
1997-12-11,4649521.6862496,1
1997-12-12,4647478.4362496,1
1997-12-15,4667688.0362496,1
1997-12-16,4698856.8862496,1
1997-12-17,4737047.086249599,1
1997-12-18,4731214.5362496,1
1997-12-19,4763906.5362496,1
1997-12-22,4809638.1862496,1
1997-12-23,4821860.5362496,1
1997-12-24,4807334.8862496,1
1997-12-26,4821823.3862496,1
1997-12-29,4865437.4862496,1
1997-12-30,4832596.8862496,1
1997-12-31,4841104.2362496,1
1998-01-01,4874427.7862496,1
1998-01-02,4896160.5362496,1
1998-01-05,4926995.036249599,1
1998-01-06,4908085.6862496,1
1998-01-07,4889956.4862496,1
1998-01-08,4831779.586249599,1
1998-01-09,4770853.586249599,1
1998-01-12,4696627.8862496,1
1998-01-13,4717246.1362496,1
1998-01-14,4706026.836249599,1
1998-01-15,4688231.9862496,1
1998-01-16,4698151.036249599,1
1998-01-19,4745405.836249599,1
1998-01-20,4725456.286249599,1
1998-01-21,4705395.2862496,1
1998-01-22,4678572.9862496,1
1998-01-23,4657137.4362496,1
1998-01-27,4610105.5362496,1
1998-01-28,4571543.836249599,1
1998-01-29,4569797.7862496,1
1998-02-02,4641014.336249599,1
1998-02-03,4634550.2362496,1
1998-02-04,4611665.836249599,1
1998-02-05,4625448.4862496,1
1998-02-06,4621993.536249599,1
1998-02-09,4610662.7862496,1
1998-02-10,4593127.9862496,1
1998-02-11,4581834.3862496,1
1998-02-12,4582911.7362496,1
1998-02-13,4614043.4362496,1
1998-02-16,4666499.2362496,1
1998-02-17,4644134.9362496,1
1998-02-18,4640234.1862496,1
1998-02-19,4661298.2362496,1
1998-02-20,4654648.3862496,1
1998-02-23,4695959.1862496,1
1998-02-24,4700900.1362496,1
1998-02-26,4782329.4025416,0
1998-02-27,4782329.4025416,0
1998-03-02,4782329.4025416,0
1998-03-03,4782329.4025416,0
1998-03-04,4782329.4025416,0
1998-03-05,4782329.4025416,0
1998-03-06,4782329.4025416,0
1998-03-09,4782329.4025416,0
1998-03-10,4782329.4025416,0
1998-03-11,4782329.4025416,0
1998-03-12,4782329.4025416,0
1998-03-16,4782329.4025416,0
1998-03-17,4782329.4025416,0
1998-03-18,4782329.4025416,0
1998-03-19,4782329.4025416,0
1998-03-20,4782329.4025416,0
1998-03-23,4782329.4025416,0
1998-03-24,4782329.4025416,0
1998-03-25,4782329.4025416,0
1998-03-26,4782329.4025416,0
1998-03-27,4782329.4025416,0
1998-03-30,4782329.4025416,0
1998-03-31,4782329.4025416,0
1998-04-01,4782329.4025416,0
1998-04-02,4782329.4025416,0
1998-04-03,4782329.4025416,0
1998-04-06,4782329.4025416,0
1998-04-07,4782329.4025416,0
1998-04-08,4782329.4025416,0
1998-04-10,4782329.4025416,0
1998-04-13,4782329.4025416,0
1998-04-15,4782329.4025416,0
1998-04-16,4782329.4025416,0
1998-04-17,4782329.4025416,0
1998-04-20,4782329.4025416,0
1998-04-21,4782329.4025416,0
1998-04-22,4782329.4025416,0
1998-04-23,4782329.4025416,0
1998-04-24,4782329.4025416,0
1998-04-27,4782329.4025416,0
1998-04-29,4769878.8238101,1
1998-04-30,4798097.9238101,1
1998-05-04,4885780.9738101,1
1998-05-05,4897024.0238101,1
1998-05-06,4844535.223810099,1
1998-05-08,4815105.8238101,1
1998-05-12,4772554.223810099,1
1998-05-13,4669806.123810099,1
1998-05-14,4744589.9238101,1
1998-05-15,4716944.123810099,1
1998-05-18,4766725.6738101,1
1998-05-19,4785740.123810099,1
1998-05-20,4825138.573810101,1
1998-05-21,4779115.3238101,1
1998-05-22,4772299.4238101,1
1998-05-25,4791855.3238101,1
1998-05-26,4779816.0238101,1
1998-05-27,4745099.5238101,1
1998-05-28,4716944.123810099,1
1998-05-29,4696687.5238101,1
1998-06-01,4697037.873810099,1
1998-06-02,4636713.973810099,1
1998-06-03,4634898.5238101,1
1998-06-04,4606711.2738101,1
1998-06-05,4508868.0738101,1
1998-06-08,4474183.4238101,1
1998-06-09,4507562.2238101,1
1998-06-10,4413955.0738101,1
1998-06-11,4428064.623810099,1
1998-06-12,4436855.223810099,1
1998-06-15,4325316.5238101,1
1998-06-16,4312417.2738101,1
1998-06-17,4437046.3238101,1
1998-06-18,4382742.0738101,1
1998-06-19,4295855.2738101,1
1998-06-22,4253972.5238101,1
1998-06-23,4232664.873810099,1
1998-06-24,4304805.123810099,1
1998-06-25,4340413.4238101,1
1998-06-26,4326272.0238101,1
1998-06-29,4401246.9238101,1
1998-06-30,4379907.4238101,1
1998-07-01,4354968.873810099,1
1998-07-02,4330157.723810099,1
1998-07-03,4273687.673810099,1
1998-07-06,4328214.873810099,1
1998-07-07,4348726.2738101,1
1998-07-08,4373632.973810099,1
1998-07-09,4407585.0738101,1
1998-07-10,4439275.8238101,1
1998-07-13,4412872.1738101,1
1998-07-14,4436473.0238101,1
1998-07-15,4442365.2738101,1
1998-07-16,4501765.5238101,1
1998-07-17,4491414.2738101,1
1998-07-20,4451474.373810099,1
1998-07-21,4433670.223810099,1
1998-07-22,4427109.123810099,1
1998-07-23,4363122.4738101,1
1998-07-24,4335062.623810099,1
1998-07-27,4299772.8238101,1
1998-07-28,4346082.723810099,1
1998-07-29,4373250.7738101,1
1998-07-30,4373664.8238101,1
1998-07-31,4371307.9238101,1
1998-08-03,4321749.3238101,1
1998-08-04,4320093.123810099,1
1998-08-05,4338375.0238101,1
1998-08-06,4326717.9238101,1
1998-08-07,4323405.5238101,1
1998-08-10,4304136.2738101,1
1998-08-11,4279006.623810099,1
1998-08-12,4261903.1738101,1
1998-08-13,4279165.873810099,1
1998-08-14,4272445.5238101,1
1998-08-17,4251201.5738101,1
1998-08-18,4216262.123810099,1
1998-08-19,4235340.2738101,1
1998-08-20,4289517.123810099,1
1998-08-21,4267031.0238101,1
1998-08-24,4275503.123810099,1
1998-08-25,4302543.7738101,1
1998-08-27,4306493.1738101,1
1998-08-28,4262157.973810099,1
1998-08-31,4268846.473810099,1
1998-09-01,4221995.123810099,1
1998-09-02,4240882.1738101,1
1998-09-03,4249067.623810099,1
1998-09-04,4272477.373810099,1
1998-09-07,4311939.5238101,1
1998-09-08,4330253.2738101,1
1998-09-09,4339617.1738101,1
1998-09-10,4338502.4238101,1
1998-09-11,4317831.7738101,1
1998-09-14,4357102.8238101,1
1998-09-15,4362326.2238101,1
1998-09-16,4357325.7738101,1
1998-09-17,4353344.5238101,1
1998-09-18,4342993.2738101,1
1998-09-21,4340859.3238101,1
1998-09-22,4341591.873810099,1
1998-09-23,4373155.223810099,1
1998-09-24,4414418.4725186,0
1998-09-25,4414418.4725186,0
1998-09-28,4414418.4725186,0
1998-09-29,4414418.4725186,0
1998-09-30,4414418.4725186,0
1998-10-05,4414418.4725186,0
1998-10-06,4414418.4725186,0
1998-10-07,4414418.4725186,0
1998-10-08,4414418.4725186,0
1998-10-09,4414418.4725186,0
1998-10-12,4414418.4725186,0
1998-10-13,4414418.4725186,0
1998-10-14,4414418.4725186,0
1998-10-15,4414418.4725186,0
1998-10-16,4414418.4725186,0
1998-10-19,4414418.4725186,0
1998-10-20,4414418.4725186,0
1998-10-22,4414418.4725186,0
1998-10-23,4414418.4725186,0
1998-10-26,4414418.4725186,0
1998-10-27,4414418.4725186,0
1998-10-28,4414418.4725186,0
1998-10-29,4414418.4725186,0
1998-10-30,4414418.4725186,0
1998-10-31,4414418.4725186,0
1998-11-02,4414418.4725186,0
1998-11-03,4414418.4725186,0
1998-11-05,4414418.4725186,0
1998-11-06,4414418.4725186,0
1998-11-09,4414418.4725186,0
1998-11-10,4414418.4725186,0
1998-11-11,4414418.4725186,0
1998-11-12,4414418.4725186,0
1998-11-13,4414418.4725186,0
1998-11-16,4414418.4725186,0
1998-11-17,4414418.4725186,0
1998-11-18,4414418.4725186,0
1998-11-19,4414418.4725186,0
1998-11-20,4414418.4725186,0
1998-11-21,4414418.4725186,0
1998-11-23,4414418.4725186,0
1998-11-24,4414418.4725186,0
1998-11-26,4414418.4725186,0
1998-11-27,4414418.4725186,0
1998-11-28,4414418.4725186,0
1998-11-30,4414418.4725186,0
